A,69.89,56.66,76.93,72.04,85.88,70.5,108.81,90.74,39.96,1,0,1,0,0,0,0,0.8347840000000001,0.03089999999999999,-0.5479880000000001,0.03342499999999999
B,-9.04,-0.29,-1.61,-2.71,-10.28,-3.31,-7.92,49.61,102.46,0,0,1,0,0,0,0,0.8678899999999996,-0.133823,-0.4581239999999999,-0.13772600000000002
C,31.68,-2.08,53.11,6.85,61.78,-4.34,23.21,28.39,22.34,0,0,1,0,0,0,0,0.8338670000000004,0.24051599999999984,-0.3586789999999997,0.34372599999999986
A,50.52,56.36,70.72,68.72,80.56,54.44,88.18,86.6,33.05,1,0,1,0,0,0,0,0.9208279999999998,0.127318,-0.365696,0.045803
B,-6.04,3.71,0.98,0.28,-7.42,-1.98,-5.14,32.32,98.67,0,0,1,0,0,0,0,0.9299069999999997,-0.033704,-0.36093699999999984,-0.05214099999999999
C,12.39,7.84,47.38,6.31,55.54,-4.19,19.03,30.36,26.94,0,0,1,0,0,0,0,0.8351960000000003,0.302333,-0.36887900000000007,0.256739
A,61.64,59.85,79.94,62.77,82.15,41.58,87.39,76.37,23.56,1,0,1,0,0,0,0,0.9048820000000006,0.040819999999999995,-0.42206499999999997,0.017084000000000002
B,-8.06,3.24,-0.77,-1.72,-10.25,-3.79,-8.37,35.84,80.81,0,0,0,0,0,0,0,0.9107810000000001,-0.058429999999999975,-0.39418600000000004,-0.050248999999999995
C,12.1,4.74,40.86,1.87,43.65,-5.2,11.51,22.16,40.34,0,0,1,0,0,0,0,0.8531500000000001,0.2270369999999999,-0.35966100000000006,0.24014000000000002
A,60.67,58.59,79.77,67.01,82.24,51.95,77.86,44.97,10.99,1,0,1,0,0,0,0,0.9130710000000005,0.032579,-0.4047439999999999,-0.02795499999999997
B,-2.42,10.29,9.04,7.66,2.34,2.43,2.63,35.01,84.02,0,0,0,0,0,0,0,0.905762,-0.030025999999999997,-0.40008000000000005,-0.070168
C,9.25,10.08,38.09,8.8,46.82,-3.41,20.64,8.99,31.67,0,0,1,0,0,0,0,0.8573110000000002,0.19226000000000001,-0.3838820000000001,0.17917199999999997
A,47.7,55.78,74.56,65.9,80.07,47.68,79.43,67.01,17.35,1,0,1,0,0,0,0,0.8926810000000006,0.08443300000000001,-0.4158930000000002,0.027726000000000046
B,-7.17,0.22,-1.75,-1.82,-10.26,-1.45,-6.26,47.5,97.26,0,0,1,0,0,0,0,0.9099150000000007,-0.07104199999999998,-0.38836200000000026,-0.12290800000000003
C,11.77,3.11,40.71,2.09,47.15,-4.0,20.54,31.42,37.96,0,0,0,0,0,0,0,0.8513620000000006,0.23044499999999996,-0.36353800000000014,0.17602300000000007
