1,-0.51,21.78,88.61,49.3,64.94,53.43,71.46,39.82,15.54,0,0,0,0,0,0,0,0.803546,-0.057055,-0.584642,0.062031
1,-0.88,43.79,66.14,62.84,63.65,70.67,90.75,41.49,2.78,0,0,0,0,0,0,0,0.776407,-0.248847,-0.530898,-0.230874
2,-3.94,18.77,5.25,19.06,74.84,75.1,54.55,31.39,42.13,0,0,0,0,0,0,0,0.788201,-0.144026,-0.596823,0.029367
2,-2.54,29.64,3.37,22.12,63.72,76.34,75.8,30.17,48.12,0,0,0,0,0,0,0,0.745378,-0.286867,-0.539496,-0.26655
3,-3.83,-2.46,3.02,11.12,60.09,64.2,80.14,-22.88,-3.58,0,0,0,0,0,0,0,0.804169,-0.082161,-0.582318,0.08029
3,-2.09,6.76,2.94,14.54,63.65,65.58,76.24,-18.86,0.4,0,0,0,0,0,0,0,0.785242,-0.240247,-0.52683,-0.219121
4,-3.78,-8.41,1.3,-3.55,-0.22,-1.8,0.74,33.17,95.6,0,0,0,0,0,0,0,0.821198,-0.232102,-0.52121,0.003087
4,-2.15,-4.04,1.26,-1.64,-0.05,1.72,9.15,34.14,70.2,0,0,0,0,0,0,0,0.784134,-0.335665,-0.435754,-0.287294
5,-5.06,-9.39,1.2,-3.99,-1.87,-4.49,-1.06,-23.87,3.64,0,0,0,0,0,0,0,0.839711,-0.108518,-0.526668,0.074834
5,-1.56,-8.59,0.76,-2.97,-1.89,-1.55,3.77,-10.71,2.52,0,0,0,0,0,0,0,0.831693,-0.247406,-0.422997,-0.260966
6,-6.21,0.02,0.71,2.68,-1.97,3.86,95.98,20.49,68.84,0,0,0,0,0,0,1,0.792695,-0.13691,-0.58503,0.03443
6,-6.24,18.39,0.23,16.24,-1.61,38.09,69.88,18.47,90.42,0,0,0,0,0,0,1,0.762295,-0.305723,-0.497939,-0.27621
7,-3.97,-2.2,1.13,4,86.25,48.96,3.98,27.48,46.97,0,0,0,0,0,0,0,0.781753,-0.161801,-0.583983,0.027146
7,-3.98,1.58,-0.15,6.71,79.01,58.24,-0.13,32.81,49.1,0,0,0,0,0,0,0,0.740992,-0.376968,-0.471579,-0.293887
8,-5.27,22.39,81.48,30.85,2.9,11.46,-1.95,39.34,16.69,0,0,0,0,0,0,0,0.772808,-0.121401,-0.622709,0.011188
8,-5.86,22.09,69.25,17.68,0.57,8.04,-1.96,33.69,14.74,0,0,0,0,0,0,0,0.712016,-0.328773,-0.541996,-0.301851
9,85.57,39.04,8.63,1.95,-1.11,-4.99,-5.61,61.64,2.33,0,0,0,0,0,0,0,0.7836,-0.118262,-0.608919,0.018586
9,61.51,50.44,7.04,5.19,-2.07,-4.14,-4.39,47.43,-1.97,0,0,0,0,0,0,0,0.720345,-0.330912,-0.521812,-0.315084
A,90.73,47.6,75.82,40.65,71.97,42.09,83.58,-0.64,-9.87,1,0,1,0,0,0,0,0.801074,-0.096959,-0.55425,0.060908
A,92.15,46.39,86.97,50.65,81.73,49.77,97.56,46.52,-10.63,1,0,1,0,0,0,0,0.747329,-0.127187,-0.647572,-0.064103
B,0.01,2.67,6.95,1.28,-2.82,1.63,-10.09,37,85.81,0,0,1,0,0,0,0,0.766325,-0.194563,-0.611421,-0.031015
B,-0.57,6.02,6.12,8.19,-3.51,5.69,-4.7,55.37,66.59,0,0,1,0,0,0,0,0.794381,-0.180648,-0.564911,-0.129081
C,38.65,-1.08,48.87,-0.68,25.52,-2.74,1.06,39.36,9.64,0,0,1,0,0,0,0,0.743333,0.129164,-0.445851,0.44687
C,30.36,-2.52,48.49,-0.44,14.81,-2.67,4.1,41.51,10.83,0,0,1,0,0,0,0,0.793965,0.158412,-0.456408,0.36715
D,6.19,-4.29,51.32,12.01,36.4,2.59,14.6,23.79,2.13,0,0,0,0,0,0,0,0.791656,-0.080189,-0.554497,0.071073
D,0.91,-4.77,67.48,9.18,52.59,-1.87,23.77,36.26,9.08,0,0,0,0,0,0,0,0.839132,-0.056496,-0.540389,-0.023997
E,74.73,35.77,71.24,14.26,63.86,1.03,48.82,44.33,77.99,0,0,0,0,0,0,0,0.854201,-0.099383,-0.508929,0.000572
E,63.45,38.67,71.99,22.4,64.53,1.78,45.23,37.76,72.03,0,0,0,0,0,0,0,0.88131,-0.142342,-0.425899,-0.14664
F,67.72,10.54,11.53,11.61,4.12,1.46,-2.83,51.03,5.81,0,0,0,0,0,0,0,0.844877,-0.103299,-0.523577,0.023774
F,79.38,23.58,2.99,22.85,-3.8,8.41,-5.73,53.2,-0.82,0,0,0,0,0,0,0,0.860874,-0.084371,-0.49401,-0.08252
G,0.48,4.36,86.48,8.05,85.29,3.37,96.39,-12.46,11.31,0,0,1,0,0,0,0,0.525652,0.57458,0.359319,0.507073
G,3.66,6.86,80.93,11.33,81.47,3.89,88.4,-8.64,16.4,0,0,1,0,0,0,0,0.601114,0.637155,0.264073,0.2922
H,-3.05,2.72,9.33,3.54,78.13,0.09,68.91,-2.05,51.19,0,0,1,0,0,0,0,0.531012,0.569225,0.385479,0.495321
H,-1.79,10.53,7.15,9.35,77.47,7.03,79.55,8.76,54.3,0,0,1,0,0,0,0,0.586333,0.641253,0.329324,0.369242
I,128.11,51.61,76.44,51.96,75.11,45.05,-9.29,65.18,12.85,0,1,1,0,0,0,0,0.783595,-0.07556,-0.609384,0.094041
I,100.3,80.99,78.43,73.02,76.35,65.85,-2.89,59.41,7.84,0,1,1,0,0,0,0,0.770367,-0.137491,-0.613692,-0.104714
J,123.44,48.46,73.97,48.95,73.57,42.51,-11.19,60.49,11.02,0,1,1,0,0,0,0,0.802723,-0.066454,-0.583681,0.065551
J,92.17,73.67,74.51,66.84,75.16,56.96,-5.41,46.04,7.32,0,1,1,0,0,0,0,0.803486,-0.061284,-0.482659,-0.18359
K,0.24,15.92,6.72,25.45,73.67,74.77,81.27,-19.53,0.97,0,0,0,0,0,0,0,0.744288,-0.063284,-0.658591,0.003581
K,0.23,20.18,4.43,23.04,72.19,67.74,70.61,-10.01,8.08,0,0,0,0,0,0,0,0.726907,-0.239912,-0.619896,-0.172312
L,0.7,-5.88,80.12,11.62,72.46,2.67,75.56,-29.08,-7.58,0,0,0,0,0,0,0,0.821943,-0.016063,-0.561522,0.09221
L,0.98,2.03,89.09,52.2,78.28,16.61,85.15,-18.6,0,0,0,0,0,0,0,0,0.806451,-0.080875,-0.582862,-0.036104
M,55.6,79.53,64.5,63.81,62.54,56.4,110.71,-17.04,146.85,0,0,1,0,0,1,0,0.858854,-0.09446,-0.49385,0.013414
M,51.07,78.48,70.76,64.4,63.34,57.27,114.01,24.45,142.39,0,0,1,0,0,1,0,0.824503,-0.159352,-0.500945,-0.208777
N,68.01,60.99,67.31,52.34,52.47,87.39,85.07,13.49,99.98,0,0,1,0,1,0,0,0.893564,-0.08256,-0.438978,-0.028811
N,62.53,51.33,71.3,55.53,56.51,84.15,85.06,38.27,77.91,0,0,1,0,1,0,0,0.861193,-0.180141,-0.42558,-0.211247
O,57.94,11.88,51.16,10.3,33.77,5.71,50.51,61.39,11.86,0,0,1,0,0,0,0,0.617725,0.333945,-0.37848,0.602057
O,39.36,23.82,45.72,22.58,33.94,7.95,47.84,51.37,11.03,0,0,1,0,0,0,0,0.822039,0.266251,-0.389229,0.318277
P,-6.01,29.03,9.47,62.52,48.48,77.11,70.75,-41.61,-12.07,0,0,0,0,0,0,0,0.986997,0.023688,0.123834,0.094852
P,-1.68,34.07,10.21,76.96,63.26,83.66,75.16,-27.26,-4.43,0,0,0,0,0,0,0,0.986107,-0.002754,0.087081,-0.140894
Q,-7.55,61.55,70.39,65.94,63.97,68.59,83.25,-37.1,-7.2,0,0,0,0,0,0,0,0.963547,-0.007096,0.204837,0.156939
Q,-7.31,69.05,71.38,70.94,68.24,72.7,82.68,-29.85,-5.81,0,0,0,0,0,0,0,0.984823,0.032049,0.161044,-0.053475
R,-10.46,37.76,6.34,11.56,78.37,52.04,85.84,23.63,76.41,0,1,0,0,0,0,0,0.791933,-0.021283,-0.583578,0.045019
R,-11.03,46.11,7.12,21.71,75.23,56.9,85.81,29.32,59.97,0,1,0,0,0,0,0,0.740542,-0.255502,-0.599409,-0.16417
S,129.95,38.69,85.02,39.31,69.64,41.28,82.37,67.13,14.13,0,1,1,0,0,0,0,0.733543,-0.05637,-0.647979,0.066146
S,121.68,63.8,72.77,56.27,67.26,56.18,94.75,62.85,30.99,0,1,1,0,0,0,0,0.771122,-0.034994,-0.630498,-0.025806
T,83.13,31.36,71.86,57.21,55.23,71.46,75.31,0.97,49.34,0,0,1,1,0,0,0,0.769842,-0.099456,-0.629341,0.035908
T,69.95,36.28,72.4,59.34,66.32,69.51,82.34,50.52,69.02,0,0,1,1,0,0,0,0.783891,-0.137849,-0.602947,-0.047637
U,-3.76,14.65,5.1,17.66,78.53,52.42,74.61,35.93,49.27,0,0,1,0,0,0,0,0.783822,-0.194614,-0.577099,0.114506
U,-3.71,28.1,4.76,30.74,68.58,76.99,89.14,36.86,52.42,0,0,1,0,0,0,0,0.784442,-0.246093,-0.561995,-0.089245
V,-2.33,0.39,2.76,7.8,78.05,59.59,76.08,37.5,45.56,0,0,0,0,0,0,0,0.795694,-0.207787,-0.555316,0.123469
V,-1.73,-0.81,2.86,2.17,63.51,20.39,73.59,33.26,49.59,0,0,0,0,0,0,0,0.813685,-0.14503,-0.558585,-0.069713
W,-8.3,44.8,1.13,24.27,-0.27,40.77,71.09,-3.22,94.38,0,0,0,0,0,1,0,0.736026,-0.224687,-0.637908,0.024571
W,-6.8,24.63,0.84,18.86,-1.05,42.22,68.06,23.83,83.87,0,0,0,0,0,1,0,0.769213,-0.311251,-0.533378,-0.164074
X,55.49,-0.59,68.34,47.36,51.93,50.88,68.9,49.43,112.42,0,0,0,0,0,0,0,0.85978,-0.054481,-0.493066,0.121119
X,69.06,3.96,81.11,44.14,67.2,49.83,80.98,91.38,87.41,0,0,0,0,0,0,0,0.898303,-0.069964,-0.408842,-0.136029
Y,95.32,74.77,77.68,69.84,70.67,65.33,-0.2,-23.16,-1.14,0,0,1,0,0,0,0,0.903459,-0.065039,-0.421023,0.046627
Y,83.67,63.85,78.68,70.78,75.06,65.28,1.64,-15.75,0.8,0,0,1,0,0,0,0,0.858715,-0.197581,-0.395801,-0.257451
